Anime,Genre
The Irregular at Magic High School: Reminiscence Arc,Drama
The Irregular at Magic High School: Reminiscence Arc,Sci Fi
The Irregular at Magic High School: Reminiscence Arc,Shounen
The Irregular at Magic High School: Reminiscence Arc,Magic
The Irregular at Magic High School: Reminiscence Arc,Siblings
The Irregular at Magic High School: Reminiscence Arc,Supernatural
The Irregular at Magic High School: Reminiscence Arc,Based on a Light Novel
Kill La Kill,Action
Kill La Kill,Comedy
Kill La Kill,Ecchi
Kill La Kill,Sci Fi
Kill La Kill,Aliens
Kill La Kill,Animeism
Kill La Kill,Conspiracy
Kill La Kill,Rebellions
Kill La Kill,School Life
Kill La Kill,Superpowers
Kill La Kill,Swordplay
Kill La Kill,Original Work
Kill La Kill,Mature Themes
Kill La Kill,
Kill La Kill,Physical Abuse
Kill La Kill,
Kill La Kill,Sexual Abuse
Kill La Kill,
Kill La Kill,Violence
Kill La Kill,
Kill La Kill,Domestic Abuse
Girls und Panzer das Finale: Part 1,Action
Girls und Panzer das Finale: Part 1,Military
Girls und Panzer das Finale: Part 1,Military School
Girls und Panzer das Finale: Part 1,School Club
Girls und Panzer das Finale: Part 1,School Life
Girls und Panzer das Finale: Part 1,Tournaments
Girls und Panzer das Finale: Part 1,Original Work
Akame ga Kill!,Action
Akame ga Kill!,Fantasy
Akame ga Kill!,Shounen
Akame ga Kill!,Assassins
Akame ga Kill!,Dark Fantasy
Akame ga Kill!,Lifestyle Change
Akame ga Kill!,Rebellions
Akame ga Kill!,Urban Fantasy
Akame ga Kill!,Vigilantes
Akame ga Kill!,Based on a Manga
Akame ga Kill!,Explicit Violence
Yuru Yuri San☆Hai!,Comedy
Yuru Yuri San☆Hai!,GL
Yuru Yuri San☆Hai!,Seinen
Yuru Yuri San☆Hai!,Shoujo-ai
Yuru Yuri San☆Hai!,Slice of Life
Yuru Yuri San☆Hai!,School Club
Yuru Yuri San☆Hai!,School Life
Yuru Yuri San☆Hai!,Based on a Manga
Alderamin on the Sky,Action
Alderamin on the Sky,Fantasy
Alderamin on the Sky,Seinen
Alderamin on the Sky,Guns
Alderamin on the Sky,Military
Alderamin on the Sky,War
Alderamin on the Sky,Based on a Light Novel
Aria the Natural,Sci Fi
Aria the Natural,Shounen
Aria the Natural,Slice of Life
Aria the Natural,Apprenticeship
Aria the Natural,Iyashikei
Aria the Natural,Ocean
Aria the Natural,Work Life
Aria the Natural,Based on a Manga
Detective Conan Movie 7: Crossroad in the Ancient Capital,Mystery
Detective Conan Movie 7: Crossroad in the Ancient Capital,Shounen
Detective Conan Movie 7: Crossroad in the Ancient Capital,Age Transformation
Detective Conan Movie 7: Crossroad in the Ancient Capital,Detectives
Detective Conan Movie 7: Crossroad in the Ancient Capital,Thieves
Detective Conan Movie 7: Crossroad in the Ancient Capital,Based on a Manga
Ghost Hunt,Horror
Ghost Hunt,Shoujo
Ghost Hunt,Curse
Ghost Hunt,Detectives
Ghost Hunt,Ghost Hunters
Ghost Hunt,Supernatural
Ghost Hunt,Based on a Light Novel
The Daily Life of the Immortal King 2,Comedy
The Daily Life of the Immortal King 2,Fantasy
The Daily Life of the Immortal King 2,Chinese Animation
The Daily Life of the Immortal King 2,Cultivation
The Daily Life of the Immortal King 2,Overpowered Main Characters
The Daily Life of the Immortal King 2,School Life
The Daily Life of the Immortal King 2,Urban Fantasy
The Daily Life of the Immortal King 2,Based on a Web Novel
Food Wars! The Fifth Plate,Comedy
Food Wars! The Fifth Plate,Ecchi
Food Wars! The Fifth Plate,Shounen
Food Wars! The Fifth Plate,Cooking
Food Wars! The Fifth Plate,Culinary School
Food Wars! The Fifth Plate,Food and Beverage
Food Wars! The Fifth Plate,Based on a Manga
Love Live! The School Idol Movie,Idols
Love Live! The School Idol Movie,Music
Hi Score Girl II,Comedy
Hi Score Girl II,Seinen
Hi Score Girl II,Historical
Hi Score Girl II,Video Game Industry
Hi Score Girl II,Based on a Manga
Hi Score Girl II,CG Animation
Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,Mecha
Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,Sci Fi
Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,Real Robot
Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,Recap
Baka and Test - Summon the Beasts 2,Comedy
Baka and Test - Summon the Beasts 2,Chibi
Baka and Test - Summon the Beasts 2,Magic
Baka and Test - Summon the Beasts 2,Magic School
Baka and Test - Summon the Beasts 2,School Life
Baka and Test - Summon the Beasts 2,Based on a Light Novel
Kakushigoto,Comedy
Kakushigoto,Drama
Kakushigoto,Shounen
Kakushigoto,Slice of Life
Kakushigoto,Childcare
Kakushigoto,Manga Industry
Kakushigoto,Single Parent
Kakushigoto,Based on a Manga
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Action
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Fantasy
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Assassins
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Cheats
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Dark Fantasy
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Isekai
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Magic
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Modern Knowledge
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Nobility
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Person in a Strange World
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Reincarnation
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Based on a Light Novel
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Explicit Violence
Lupin III: The Castle of Cagliostro,Action
Lupin III: The Castle of Cagliostro,Seinen
Lupin III: The Castle of Cagliostro,Criminals
Lupin III: The Castle of Cagliostro,Thieves
Lupin III: The Castle of Cagliostro,Based on a Manga
Kuroko's Basketball OVA,Comedy
Kuroko's Basketball OVA,Shounen
Kuroko's Basketball OVA,Sports
Kuroko's Basketball OVA,Basketball
Kuroko's Basketball OVA,School Life
Kuroko's Basketball OVA,Based on a Manga
Macross Frontier,Action
Macross Frontier,Mecha
Macross Frontier,Romance
Macross Frontier,Sci Fi
Macross Frontier,Aliens
Macross Frontier,Idols
Macross Frontier,Love Triangle
Macross Frontier,Military
Macross Frontier,Music
Macross Frontier,Outer Space
Macross Frontier,Real Robot
Macross Frontier,Space Opera
Macross Frontier,Transforming Mecha
Macross Frontier,Original Work
Nura: Rise of the Youkai Clan OVA,Japanese Mythology
Nura: Rise of the Youkai Clan OVA,Youkai
The Story of Saiunkoku,Drama
The Story of Saiunkoku,Fantasy
The Story of Saiunkoku,Reverse Harem
The Story of Saiunkoku,Romance
The Story of Saiunkoku,Shoujo
The Story of Saiunkoku,Political
The Story of Saiunkoku,Royalty
The Story of Saiunkoku,Social Gap
The Story of Saiunkoku,Based on a Light Novel
"So I'm a Spider, So What?",Action
"So I'm a Spider, So What?",Adventure
"So I'm a Spider, So What?",Fantasy
"So I'm a Spider, So What?",Dungeon
"So I'm a Spider, So What?",Isekai
"So I'm a Spider, So What?",Monsters
"So I'm a Spider, So What?",Non-Human Protagonists
"So I'm a Spider, So What?",Reincarnation
"So I'm a Spider, So What?",RPG
"So I'm a Spider, So What?",Weak to Strong
"So I'm a Spider, So What?",Based on a Light Novel
"So I'm a Spider, So What?",Violence
Mobile Suit Gundam Wing: Endless Waltz,Action
Mobile Suit Gundam Wing: Endless Waltz,Mecha
Mobile Suit Gundam Wing: Endless Waltz,Sci Fi
Mobile Suit Gundam Wing: Endless Waltz,Outer Space
Legend of the Galactic Heroes: Spiral Labyrinth,Drama
Legend of the Galactic Heroes: Spiral Labyrinth,Sci Fi
Legend of the Galactic Heroes: Spiral Labyrinth,Military
Legend of the Galactic Heroes: Spiral Labyrinth,Outer Space
Legend of the Galactic Heroes: Spiral Labyrinth,Political
Legend of the Galactic Heroes: Spiral Labyrinth,Space Opera
Legend of the Galactic Heroes: Spiral Labyrinth,War
Legend of the Galactic Heroes: Spiral Labyrinth,Based on a Novel
Golden Kamuy,Adventure
Golden Kamuy,Drama
Golden Kamuy,Historical
Golden Kamuy,Military
Golden Kamuy,Treasure Hunters
Golden Kamuy,Based on a Manga
Golden Kamuy,Violence
Major 2nd: Second Season,Sports
Major 2nd: Second Season,Baseball
Major 2nd: Second Season,Based on a Manga
Sword Art Online,Action
Sword Art Online,Adventure
Sword Art Online,Fantasy
Sword Art Online,Sci Fi
Sword Art Online,Dungeon
Sword Art Online,High Stakes Games
Sword Art Online,MMORPG
Sword Art Online,Overpowered Main Characters
Sword Art Online,PVE
Sword Art Online,PVP
Sword Art Online,RPG
Sword Art Online,Trapped in a Video Game
Sword Art Online,Virtual Reality
Sword Art Online,Based on a Light Novel
Sword Art Online,Mature Themes
Sword Art Online,
Sword Art Online,Physical Abuse
Sword Art Online,
Sword Art Online,Sexual Abuse
Sword Art Online,
Sword Art Online,Suicide
Your lie in April: Moments,Drama
Your lie in April: Moments,Shounen
Your lie in April: Moments,Music
Your lie in April: Moments,Tournaments
Your lie in April: Moments,Based on a Manga
Kengan Ashura 2,Action
Kengan Ashura 2,Drama
Kengan Ashura 2,Hand to Hand Combat
Kengan Ashura 2,Martial Arts
Kengan Ashura 2,Tournaments
Kengan Ashura 2,Based on a Manga
Kengan Ashura 2,CG Animation
Kengan Ashura 2,Explicit Violence
Kengan Ashura 2,
Kengan Ashura 2,Mature Themes
Kengan Ashura 2,
Kengan Ashura 2,Physical Abuse
Detective Conan,Drama
Detective Conan,Mystery
Detective Conan,Shounen
Detective Conan,Age Transformation
Detective Conan,Crime
Detective Conan,Detectives
Detective Conan,Episodic
Detective Conan,Police
Detective Conan,Secret Identity
Detective Conan,Based on a Manga
Detective Conan,Violence
Detective Conan OVA 9: The Stranger of 10 Years,Shounen
Detective Conan OVA 9: The Stranger of 10 Years,Age Transformation
Detective Conan OVA 9: The Stranger of 10 Years,Detectives
Detective Conan OVA 9: The Stranger of 10 Years,School Life
Detective Conan OVA 9: The Stranger of 10 Years,Time Travel
Detective Conan OVA 9: The Stranger of 10 Years,Based on a Manga
The Witcher: Nightmare of the Wolf,Action
The Witcher: Nightmare of the Wolf,Fantasy
The Witcher: Nightmare of the Wolf,Dark Fantasy
The Witcher: Nightmare of the Wolf,Korean Animation
The Witcher: Nightmare of the Wolf,Magic
The Witcher: Nightmare of the Wolf,Medieval
The Witcher: Nightmare of the Wolf,Monsters
The Witcher: Nightmare of the Wolf,Based on a Novel
The Witcher: Nightmare of the Wolf,Explicit Violence
The Witcher: Nightmare of the Wolf,
The Witcher: Nightmare of the Wolf,Nudity
"Clannad: Another World, Kyou Chapter",Drama
"Clannad: Another World, Kyou Chapter",Romance
"Clannad: Another World, Kyou Chapter",Based on a Visual Novel
Tsukigakirei,Romance
Tsukigakirei,Coming of Age
Tsukigakirei,Iyashikei
Tsukigakirei,Love Triangle
Tsukigakirei,School Life
Tsukigakirei,Original Work
Radiant 2nd Season,Action
Radiant 2nd Season,Adventure
Radiant 2nd Season,Fantasy
Radiant 2nd Season,Based on a Manga
My Senpai is Annoying,Comedy
My Senpai is Annoying,Romance
My Senpai is Annoying,Seinen
My Senpai is Annoying,Adult Couples
My Senpai is Annoying,Coworkers
My Senpai is Annoying,Iyashikei
My Senpai is Annoying,Mature Romance
My Senpai is Annoying,Romantic Comedy
My Senpai is Annoying,Salaryman
My Senpai is Annoying,Work Life
My Senpai is Annoying,Based on a Manga
Dragon Ball,Action
Dragon Ball,Adventure
Dragon Ball,Comedy
Dragon Ball,Shounen
Dragon Ball,Journey to the West
Dragon Ball,Martial Arts
Dragon Ball,Overpowered Main Characters
Dragon Ball,Based on a Manga
Dragon Ball,Nudity
My Hero Academia: Make It! Do-or-Die Survival Training,Action
My Hero Academia: Make It! Do-or-Die Survival Training,Sci Fi
My Hero Academia: Make It! Do-or-Die Survival Training,Shounen
My Hero Academia: Make It! Do-or-Die Survival Training,Superheroes
My Hero Academia: Make It! Do-or-Die Survival Training,Superpowers
My Hero Academia: Make It! Do-or-Die Survival Training,Based on a Manga
Slayers Try,Action
Slayers Try,Adventure
Slayers Try,Fantasy
Slayers Try,Medieval
Slayers Try,Based on a Light Novel
Shouwa Genroku Rakugo Shinjuu OVA,Drama
Shouwa Genroku Rakugo Shinjuu OVA,Josei
Shouwa Genroku Rakugo Shinjuu OVA,Apprenticeship
Shouwa Genroku Rakugo Shinjuu OVA,Historical
Shouwa Genroku Rakugo Shinjuu OVA,Lifestyle Change
Shouwa Genroku Rakugo Shinjuu OVA,Rakugo
Shouwa Genroku Rakugo Shinjuu OVA,Based on a Manga
Code Geass: Lelouch of the Rebellion II - Transgression,Mecha
Code Geass: Lelouch of the Rebellion II - Transgression,Sci Fi
Code Geass: Lelouch of the Rebellion II - Transgression,Real Robot
Code Geass: Lelouch of the Rebellion II - Transgression,Secret Identity
Code Geass: Lelouch of the Rebellion II - Transgression,Terrorism
Code Geass: Lelouch of the Rebellion II - Transgression,Original Work
Code Geass: Lelouch of the Rebellion II - Transgression,Violence
Hitorijime My Hero,BL
Hitorijime My Hero,Comedy
Hitorijime My Hero,Drama
Hitorijime My Hero,Romance
Hitorijime My Hero,Shounen-ai
Hitorijime My Hero,LGBT Themes
Hitorijime My Hero,School Life
Hitorijime My Hero,Student-Teacher Relationship
Hitorijime My Hero,Based on a Manga
Bleach,Action
Bleach,Shounen
Bleach,Afterlife
Bleach,Shinigami
Bleach,Supernatural
Bleach,Superpowers
Bleach,Swordplay
Bleach,Based on a Manga
Bleach,Violence
Hikaru no Go: Journey to the North Star Cup,Shounen
Hikaru no Go: Journey to the North Star Cup,Board Games
Hikaru no Go: Journey to the North Star Cup,Ghosts
Hikaru no Go: Journey to the North Star Cup,Supernatural
Hikaru no Go: Journey to the North Star Cup,Tournaments
Hikaru no Go: Journey to the North Star Cup,Based on a Manga
K-On!!: Plan!,Comedy
K-On!!: Plan!,Seinen
K-On!!: Plan!,Slice of Life
K-On!!: Plan!,Based on a 4-Koma Manga
K-On!!: Plan!,Based on a Manga
Pokemon: GOTCHA!,Adventure
Pokemon: GOTCHA!,Fantasy
Pokemon: GOTCHA!,Monsters
Pokemon: GOTCHA!,Based on a Video Game
Wushang Shen Di,Action
Wushang Shen Di,Fantasy
Wushang Shen Di,Ancient China
Wushang Shen Di,Chinese Animation
Wushang Shen Di,Short Episodes
Wushang Shen Di,Based on a Web Novel
Wushang Shen Di,CG Animation
Detective Conan Movie 9: Strategy Above the Depths,Drama
Detective Conan Movie 9: Strategy Above the Depths,Mystery
Detective Conan Movie 9: Strategy Above the Depths,Shounen
Detective Conan Movie 9: Strategy Above the Depths,Age Transformation
Detective Conan Movie 9: Strategy Above the Depths,Detectives
Detective Conan Movie 9: Strategy Above the Depths,Ocean
Detective Conan Movie 9: Strategy Above the Depths,Based on a Manga
Tentai Senshi Sunred 2,Comedy
Tentai Senshi Sunred 2,Seinen
Tentai Senshi Sunred 2,Gag
Tentai Senshi Sunred 2,Monsters
Tentai Senshi Sunred 2,Parody
Tentai Senshi Sunred 2,Superheroes
Tentai Senshi Sunred 2,Based on a Manga
City Hunter 2,Action
City Hunter 2,Comedy
City Hunter 2,Drama
City Hunter 2,Shounen
City Hunter 2,Episodic
City Hunter 2,Guns
City Hunter 2,Based on a Manga
Hidamari Sketch: Sae & Hiro's Graduation Arc,Seinen
Hidamari Sketch: Sae & Hiro's Graduation Arc,Slice of Life
Hidamari Sketch: Sae & Hiro's Graduation Arc,Art
Hidamari Sketch: Sae & Hiro's Graduation Arc,Art School
Hidamari Sketch: Sae & Hiro's Graduation Arc,Boarding House
Hidamari Sketch: Sae & Hiro's Graduation Arc,Neighbors
Hidamari Sketch: Sae & Hiro's Graduation Arc,School Life
Hidamari Sketch: Sae & Hiro's Graduation Arc,Based on a 4-Koma Manga
Hidamari Sketch: Sae & Hiro's Graduation Arc,Based on a Manga
Broken Blade Movie 1: The Time of Awakening,Action
Broken Blade Movie 1: The Time of Awakening,Fantasy
Broken Blade Movie 1: The Time of Awakening,Mecha
Broken Blade Movie 1: The Time of Awakening,Magic
Broken Blade Movie 1: The Time of Awakening,Military
Broken Blade Movie 1: The Time of Awakening,War
Emma: A Victorian Romance - Second Act,Drama
Emma: A Victorian Romance - Second Act,Romance
Emma: A Victorian Romance - Second Act,Seinen
Emma: A Victorian Romance - Second Act,19th Century
Emma: A Victorian Romance - Second Act,Adult Couples
Emma: A Victorian Romance - Second Act,England
Emma: A Victorian Romance - Second Act,Europe
Emma: A Victorian Romance - Second Act,Historical
Emma: A Victorian Romance - Second Act,Maids
Emma: A Victorian Romance - Second Act,Mature Romance
Emma: A Victorian Romance - Second Act,Social Gap
Emma: A Victorian Romance - Second Act,Work Life
Emma: A Victorian Romance - Second Act,Based on a Manga
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,Comedy
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,Shounen
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,Military
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,Submarine
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,Tsundere
Planetarian Movie: Hoshi no Hito,Sci Fi
Planetarian Movie: Hoshi no Hito,Androids
Planetarian Movie: Hoshi no Hito,Astronomy
Planetarian Movie: Hoshi no Hito,Dystopia
Planetarian Movie: Hoshi no Hito,Non-Human Protagonists
Planetarian Movie: Hoshi no Hito,Post-apocalyptic
Planetarian Movie: Hoshi no Hito,Robots
Planetarian Movie: Hoshi no Hito,Based on a Visual Novel
Shadows House,Drama
Shadows House,Horror
Shadows House,Seinen
Shadows House,Mansion
Shadows House,Supernatural
Shadows House,Based on a Manga
The Tibetan Dog,Drama
The Tibetan Dog,Countryside
The Tibetan Dog,Dogs
The Tibetan Dog,Family Friendly
The Tibetan Dog,Pets
The Tibetan Dog,Original Work
Okko's Inn Movie,Countryside
Okko's Inn Movie,Hotels and Inns
Okko's Inn Movie,Lifestyle Change
Okko's Inn Movie,Orphans
Okko's Inn Movie,Supernatural
Okko's Inn Movie,Based on a Light Novel
ID:INVADED,Mystery
ID:INVADED,Sci Fi
ID:INVADED,Detectives
ID:INVADED,Psychological
ID:INVADED,Psychopaths
ID:INVADED,Serial Killers
ID:INVADED,Thriller
ID:INVADED,Original Work
ID:INVADED,Explicit Violence
ID:INVADED,
ID:INVADED,Mature Themes
ID:INVADED,
ID:INVADED,Suicide
GaoGaiGar Final,Action
GaoGaiGar Final,Adventure
GaoGaiGar Final,Mecha
GaoGaiGar Final,Sci Fi
GaoGaiGar Final,Aliens
GaoGaiGar Final,Combining Mecha
GaoGaiGar Final,Cyborgs
GaoGaiGar Final,Superpowers
GaoGaiGar Final,Transforming Mecha
GaoGaiGar Final,Original Work
The Prince of Tennis II,Shounen
The Prince of Tennis II,Sports
The Prince of Tennis II,Tennis
The Prince of Tennis II,Based on a Manga
Hanasaku Iroha,Drama
Hanasaku Iroha,Romance
Hanasaku Iroha,Slice of Life
Hanasaku Iroha,Coming of Age
Hanasaku Iroha,Countryside
Hanasaku Iroha,Coworkers
Hanasaku Iroha,Hotels and Inns
Hanasaku Iroha,Lifestyle Change
Hanasaku Iroha,Work Life
Hanasaku Iroha,Original Work
Hanasaku Iroha,Mature Themes
Hanasaku Iroha,
Hanasaku Iroha,Physical Abuse
Hanasaku Iroha,
Hanasaku Iroha,Domestic Abuse
Ashita no Joe 2,Drama
Ashita no Joe 2,Shounen
Ashita no Joe 2,Sports
Ashita no Joe 2,Boxing
Ashita no Joe 2,Hand to Hand Combat
Ashita no Joe 2,Based on a Manga
Backflip!!,Sports
Backflip!!,Boarding House
Backflip!!,Gymnastics
Backflip!!,noitaminA
Backflip!!,School Club
Backflip!!,School Life
Backflip!!,Original Work
KonoSuba – God’s blessing on this wonderful world! OVA,Comedy
KonoSuba – God’s blessing on this wonderful world! OVA,Ecchi
KonoSuba – God’s blessing on this wonderful world! OVA,Fantasy
KonoSuba – God’s blessing on this wonderful world! OVA,Gag
KonoSuba – God’s blessing on this wonderful world! OVA,Gods
KonoSuba – God’s blessing on this wonderful world! OVA,Isekai
KonoSuba – God’s blessing on this wonderful world! OVA,Magic
KonoSuba – God’s blessing on this wonderful world! OVA,NEET
KonoSuba – God’s blessing on this wonderful world! OVA,Non-Human Protagonists
KonoSuba – God’s blessing on this wonderful world! OVA,Parody
KonoSuba – God’s blessing on this wonderful world! OVA,Person in a Strange World
KonoSuba – God’s blessing on this wonderful world! OVA,RPG
KonoSuba – God’s blessing on this wonderful world! OVA,Based on a Light Novel
One Piece: Episode of Luffy - Hand Island no Bouken,Action
One Piece: Episode of Luffy - Hand Island no Bouken,Adventure
One Piece: Episode of Luffy - Hand Island no Bouken,Fantasy
One Piece: Episode of Luffy - Hand Island no Bouken,Shounen
One Piece: Episode of Luffy - Hand Island no Bouken,Island
One Piece: Episode of Luffy - Hand Island no Bouken,Pirates
One Piece: Episode of Luffy - Hand Island no Bouken,Superpowers
One Piece: Episode of Luffy - Hand Island no Bouken,Based on a Manga
Wu Geng Ji 2nd Season,Action
Wu Geng Ji 2nd Season,Fantasy
Wu Geng Ji 2nd Season,Ancient China
Wu Geng Ji 2nd Season,Chinese Animation
Wu Geng Ji 2nd Season,Based on a Manga
Wu Geng Ji 2nd Season,CG Animation
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Action
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Fantasy
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Shounen
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Contemporary Fantasy
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Magic
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Superpowers
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Urban Fantasy
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Based on a Manga
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Violence
Fruits Basket,Comedy
Fruits Basket,Drama
Fruits Basket,Fantasy
Fruits Basket,Romance
Fruits Basket,Shoujo
Fruits Basket,Animal Transformation
Fruits Basket,Contemporary Fantasy
Fruits Basket,Curse
Fruits Basket,Death of a Loved One
Fruits Basket,Dysfunctional Families
Fruits Basket,Love Triangle
Fruits Basket,Orphans
Fruits Basket,Roommates
Fruits Basket,Based on a Manga
Dou Po Cangqiong,Action
Dou Po Cangqiong,Fantasy
Dou Po Cangqiong,Chinese Animation
Dou Po Cangqiong,Xianxia
Dou Po Cangqiong,Based on a Web Novel
Dou Po Cangqiong,CG Animation
Vampire Hunter D: Bloodlust,Action
Vampire Hunter D: Bloodlust,Adventure
Vampire Hunter D: Bloodlust,Mercenaries
Vampire Hunter D: Bloodlust,Non-Human Protagonists
Vampire Hunter D: Bloodlust,Post-apocalyptic
Vampire Hunter D: Bloodlust,Star-Crossed Lovers
Vampire Hunter D: Bloodlust,Vampires
Vampire Hunter D: Bloodlust,Based on a Novel
Vampire Hunter D: Bloodlust,Explicit Violence
Vampire Hunter D: Bloodlust,
Vampire Hunter D: Bloodlust,Nudity
Pretty Guardian Sailor Moon Crystal (2016),Action
Pretty Guardian Sailor Moon Crystal (2016),Fantasy
Pretty Guardian Sailor Moon Crystal (2016),Magical Girl
Pretty Guardian Sailor Moon Crystal (2016),Romance
Pretty Guardian Sailor Moon Crystal (2016),Shoujo
Pretty Guardian Sailor Moon Crystal (2016),Contemporary Fantasy
Pretty Guardian Sailor Moon Crystal (2016),Elemental Powers
Pretty Guardian Sailor Moon Crystal (2016),Henshin Heroes
Pretty Guardian Sailor Moon Crystal (2016),Magic
Pretty Guardian Sailor Moon Crystal (2016),Reincarnation
Pretty Guardian Sailor Moon Crystal (2016),Sentai
Pretty Guardian Sailor Moon Crystal (2016),Tokusatsu
Pretty Guardian Sailor Moon Crystal (2016),Urban Fantasy
Pretty Guardian Sailor Moon Crystal (2016),Based on a Manga
A Day Before Us,Romance
A Day Before Us,Korean Animation
A Day Before Us,Short Episodes
A Day Before Us,Original Work
Bloom Into You,Drama
Bloom Into You,GL
Bloom Into You,Romance
Bloom Into You,Shoujo-ai
Bloom Into You,Shounen
Bloom Into You,LGBT Themes
Bloom Into You,Love Triangle
Bloom Into You,School Life
Bloom Into You,Senpai-Kouhai Relationship
Bloom Into You,Student Council
Bloom Into You,Based on a Manga
Xingchen Bian 3rd Season,Action
Xingchen Bian 3rd Season,Fantasy
Xingchen Bian 3rd Season,Chinese Animation
Xingchen Bian 3rd Season,Xianxia
Xingchen Bian 3rd Season,Based on a Web Novel
Xingchen Bian 3rd Season,CG Animation
91 Days,Drama
91 Days,America
91 Days,Animeism
91 Days,Crime
91 Days,Criminals
91 Days,Death of a Loved One
91 Days,Gangs
91 Days,Guns
91 Days,Historical
91 Days,Mafia
91 Days,Revenge
91 Days,Thriller
91 Days,Original Work
91 Days,Explicit Violence
91 Days,
91 Days,Mature Themes
91 Days,
91 Days,Physical Abuse
91 Days,
91 Days,Sexual Content
Rakshasa Street,Action
Rakshasa Street,Chinese Animation
Rakshasa Street,Supernatural
Rakshasa Street,Based on a Manga
Seitokai Yakuindomo OVA,Comedy
Seitokai Yakuindomo OVA,Shounen
Seitokai Yakuindomo OVA,Crude
Seitokai Yakuindomo OVA,Newly Co-ed School
Seitokai Yakuindomo OVA,Parody
Seitokai Yakuindomo OVA,School Life
Seitokai Yakuindomo OVA,Student Council
Seitokai Yakuindomo OVA,Based on a 4-Koma Manga
Seitokai Yakuindomo OVA,Based on a Manga
Seitokai Yakuindomo OVA,Sexual Content
Detective Conan Movie 24: The Scarlet Bullet,Mystery
Detective Conan Movie 24: The Scarlet Bullet,Shounen
Detective Conan Movie 24: The Scarlet Bullet,Detectives
Detective Conan Movie 24: The Scarlet Bullet,Based on a Manga
Drifters: Special Edition,Action
Drifters: Special Edition,Seinen
Drifters: Special Edition,Historical
Drifters: Special Edition,Person in a Strange World
Drifters: Special Edition,Rebellions
Drifters: Special Edition,Samurai
Drifters: Special Edition,Based on a Manga
Drifters: Special Edition,Explicit Violence
Attack on Titan Movie 2: The Wings of Freedom,Action
Attack on Titan Movie 2: The Wings of Freedom,Fantasy
Attack on Titan Movie 2: The Wings of Freedom,Horror
Attack on Titan Movie 2: The Wings of Freedom,Shounen
Attack on Titan Movie 2: The Wings of Freedom,Dark Fantasy
Attack on Titan Movie 2: The Wings of Freedom,Isolated Society
Attack on Titan Movie 2: The Wings of Freedom,Military
Attack on Titan Movie 2: The Wings of Freedom,Outside World
Attack on Titan Movie 2: The Wings of Freedom,Overpowered Main Characters
Attack on Titan Movie 2: The Wings of Freedom,Post-apocalyptic
Attack on Titan Movie 2: The Wings of Freedom,Recap
Attack on Titan Movie 2: The Wings of Freedom,Based on a Manga
Attack on Titan Movie 2: The Wings of Freedom,Cannibalism
Attack on Titan Movie 2: The Wings of Freedom,
Attack on Titan Movie 2: The Wings of Freedom,Violence
City Hunter 3,Action
City Hunter 3,Comedy
City Hunter 3,Drama
City Hunter 3,Shounen
City Hunter 3,Episodic
City Hunter 3,Guns
City Hunter 3,Based on a Manga
Blast of Tempest,Adventure
Blast of Tempest,Drama
Blast of Tempest,Mystery
Blast of Tempest,Romance
Blast of Tempest,Shounen
Blast of Tempest,Animeism
Blast of Tempest,Conspiracy
Blast of Tempest,Island
Blast of Tempest,Magic
Blast of Tempest,Revenge
Blast of Tempest,Based on a Manga
Blue Exorcist Movie,Action
Blue Exorcist Movie,Fantasy
Blue Exorcist Movie,Shounen
